[2025-12-20 14:04:14] Target: 1.1.1.1 | Status: UP | Latency: 74.11ms
[2025-12-20 14:04:14] Target: google.com | Status: UP | Latency: 76.04ms
[2025-12-20 14:04:14] Target: 127.0.0.1 | Status: UP | Latency: 19.58ms
[2025-12-20 14:04:20] Target: 8.8.8.8 | Status: UP | Latency: 75.35ms
[2025-12-20 14:04:20] Target: 1.1.1.1 | Status: UP | Latency: 63.36ms
[2025-12-20 14:04:20] Target: google.com | Status: UP | Latency: 68.31ms
[2025-12-20 14:04:20] Target: 127.0.0.1 | Status: UP | Latency: 18.82ms
[2025-12-20 14:04:25] Target: 8.8.8.8 | Status: UP | Latency: 78.26ms
[2025-12-20 14:04:25] Target: 1.1.1.1 | Status: UP | Latency: 77.52ms
[2025-12-20 14:04:25] Target: google.com | Status: UP | Latency: 66.74ms
[2025-12-20 14:04:25] Target: 127.0.0.1 | Status: UP | Latency: 18.46ms
[2025-12-20 14:04:30] Target: 8.8.8.8 | Status: UP | Latency: 72.36ms
[2025-12-20 14:04:30] Target: 1.1.1.1 | Status: UP | Latency: 72.35ms
[2025-12-20 14:04:30] Target: google.com | Status: UP | Latency: 60.58ms
[2025-12-20 14:04:30] Target: 127.0.0.1 | Status: UP | Latency: 16.49ms
[2025-12-20 14:04:35] Target: 8.8.8.8 | Status: UP | Latency: 64.75ms
[2025-12-20 14:04:35] Target: 1.1.1.1 | Status: UP | Latency: 76.79ms
[2025-12-20 14:04:35] Target: google.com | Status: UP | Latency: 80.6ms
[2025-12-20 14:04:35] Target: 127.0.0.1 | Status: UP | Latency: 20.7ms
[2025-12-20 14:04:40] Target: 8.8.8.8 | Status: UP | Latency: 75.92ms
[2025-12-20 14:04:41] Target: 1.1.1.1 | Status: UP | Latency: 59.36ms
[2025-12-20 14:04:41] Target: google.com | Status: UP | Latency: 79.59ms
[2025-12-20 14:04:41] Target: 127.0.0.1 | Status: UP | Latency: 18.11ms
[2025-12-20 14:04:46] Target: 8.8.8.8 | Status: UP | Latency: 64.17ms
[2025-12-20 14:04:46] Target: 1.1.1.1 | Status: UP | Latency: 55.94ms
[2025-12-20 14:04:46] Target: google.com | Status: UP | Latency: 76.58ms
[2025-12-20 14:04:46] Target: 127.0.0.1 | Status: UP | Latency: 18.43ms
[2025-12-20 14:04:51] Target: 8.8.8.8 | Status: UP | Latency: 64.98ms
[2025-12-20 14:04:51] Target: 1.1.1.1 | Status: UP | Latency: 63.91ms
[2025-12-20 14:04:51] Target: google.com | Status: UP | Latency: 59.44ms
[2025-12-20 14:04:51] Target: 127.0.0.1 | Status: UP | Latency: 18.08ms
[2025-12-20 14:04:56] Target: 8.8.8.8 | Status: UP | Latency: 98.25ms
[2025-12-20 14:04:56] Target: 1.1.1.1 | Status: UP | Latency: 58.6ms
[2025-12-20 14:04:56] Target: google.com | Status: UP | Latency: 65.93ms
[2025-12-20 14:04:56] Target: 127.0.0.1 | Status: UP | Latency: 16.3ms
[2025-12-20 14:05:01] Target: 8.8.8.8 | Status: UP | Latency: 76.69ms
[2025-12-20 14:05:01] Target: 1.1.1.1 | Status: UP | Latency: 55.44ms
[2025-12-20 14:05:01] Target: google.com | Status: UP | Latency: 67.69ms
[2025-12-20 14:05:02] Target: 127.0.0.1 | Status: UP | Latency: 17.51ms
[2025-12-20 14:05:07] Target: 8.8.8.8 | Status: UP | Latency: 55.78ms
[2025-12-20 14:05:07] Target: 1.1.1.1 | Status: UP | Latency: 70.68ms
[2025-12-20 14:05:07] Target: google.com | Status: UP | Latency: 99.67ms
[2025-12-20 14:05:07] Target: 127.0.0.1 | Status: UP | Latency: 18.89ms
[2025-12-20 14:05:12] Target: 8.8.8.8 | Status: UP | Latency: 56.96ms
[2025-12-20 14:05:12] Target: 1.1.1.1 | Status: UP | Latency: 64.75ms
[2025-12-20 14:05:12] Target: google.com | Status: UP | Latency: 78.09ms
[2025-12-20 14:05:12] Target: 127.0.0.1 | Status: UP | Latency: 16.75ms
[2025-12-20 14:05:17] Target: 8.8.8.8 | Status: UP | Latency: 62.11ms
[2025-12-20 14:05:17] Target: 1.1.1.1 | Status: UP | Latency: 64.95ms
[2025-12-20 14:05:17] Target: google.com | Status: UP | Latency: 72.3ms
[2025-12-20 14:05:17] Target: 127.0.0.1 | Status: UP | Latency: 18.98ms
[2025-12-20 14:05:22] Target: 8.8.8.8 | Status: UP | Latency: 106.1ms
[2025-12-20 14:05:22] Target: 1.1.1.1 | Status: UP | Latency: 58.15ms
[2025-12-20 14:05:22] Target: google.com | Status: UP | Latency: 125.04ms
[2025-12-20 14:05:23] Target: 127.0.0.1 | Status: UP | Latency: 19.17ms
[2025-12-20 14:05:28] Target: 8.8.8.8 | Status: UP | Latency: 66.49ms
[2025-12-20 14:05:28] Target: 1.1.1.1 | Status: UP | Latency: 53.16ms
[2025-12-20 14:05:28] Target: google.com | Status: UP | Latency: 72.59ms
[2025-12-20 14:05:28] Target: 127.0.0.1 | Status: UP | Latency: 17.33ms
[2025-12-20 14:05:33] Target: 8.8.8.8 | Status: UP | Latency: 149.83ms
[2025-12-20 14:05:33] Target: 1.1.1.1 | Status: UP | Latency: 117.62ms
[2025-12-20 14:05:33] Target: google.com | Status: UP | Latency: 81.53ms
[2025-12-20 14:05:33] Target: 127.0.0.1 | Status: UP | Latency: 17.0ms
[2025-12-20 14:05:38] Target: 8.8.8.8 | Status: UP | Latency: 72.68ms
[2025-12-20 14:05:38] Target: 1.1.1.1 | Status: UP | Latency: 63.78ms
[2025-12-20 14:05:38] Target: google.com | Status: UP | Latency: 59.68ms
[2025-12-20 14:05:38] Target: 127.0.0.1 | Status: UP | Latency: 19.62ms
[2025-12-20 14:05:43] Target: 8.8.8.8 | Status: UP | Latency: 62.19ms
[2025-12-20 14:05:43] Target: 1.1.1.1 | Status: UP | Latency: 74.38ms
[2025-12-20 14:05:44] Target: google.com | Status: UP | Latency: 78.71ms
[2025-12-20 14:05:44] Target: 127.0.0.1 | Status: UP | Latency: 23.73ms
[2025-12-20 14:05:49] Target: 8.8.8.8 | Status: UP | Latency: 60.72ms
[2025-12-20 14:05:49] Target: 1.1.1.1 | Status: UP | Latency: 52.62ms
[2025-12-20 14:05:49] Target: google.com | Status: UP | Latency: 59.33ms
[2025-12-20 14:05:49] Target: 127.0.0.1 | Status: UP | Latency: 18.34ms
[2025-12-20 14:05:54] Target: 8.8.8.8 | Status: UP | Latency: 60.36ms
[2025-12-20 14:05:54] Target: 1.1.1.1 | Status: UP | Latency: 58.28ms
[2025-12-20 14:05:54] Target: google.com | Status: UP | Latency: 59.06ms
[2025-12-20 14:05:54] Target: 127.0.0.1 | Status: UP | Latency: 16.52ms
